stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
15793,15793,Ashland & Polk,"Ashland & Polk, Northbound, Northeast Corner",41.87191455,-87.66638578,0,,1
15795,15795,Ashland & Diversey,"Ashland & Diversey, Southbound, Southwest Corner",41.93217229,-87.66852706,0,,1
15842,15842,Ashland & Chicago,"Ashland & Chicago, Southbound, Southwest Corner",41.89590919,-87.66742868,0,,1
15843,15843,Ashland & Chicago,"Ashland & Chicago, Northbound, Northeast Corner",41.89627918,-87.66714744,0,,1
15913,15913,Ashland & 75th Place,"Ashland & 75th Place, Southbound, Northwest Corner",41.75717727,-87.6637317,0,,1
15914,15914,Ashland & 75th Place,"Ashland & 75th Place, Northbound, Eastside of the Street",41.75700658,-87.66346244,0,,1
15944,15944,Ashland & 69th Street,"Ashland & 69th Street, Southbound, Southwest Corner",41.76835705,-87.66401195,0,,1
15951,15951,Ashland & 32nd Street,"Ashland & 32nd Street, Northbound, Eastside of the Street",41.83565592,-87.66556468,0,,1
15970,15970,Ashland & 37th Street,"Ashland & 37th Street, Northbound, Northeast Corner",41.82703306,-87.66535379,0,,1
15971,15971,Ashland & 37th Street,"Ashland & 37th Street, Southbound, Southwest Corner",41.82670387,-87.66560825,0,,1
15976,15976,Ashland & Clybourn,"Ashland & Clybourn, Southbound, Southwest Corner",41.92413689,-87.66826017,0,,1
15991,15991,Ashland & Washington,"Ashland & Washington, Northbound, Northeast Corner",41.88349919,-87.66671864,0,,1
16043,16043,Ashland & Congress,"Ashland & Congress, Southbound, Northwest Corner",41.87527646,-87.66678108,0,,1
16142,16142,North Ave & Orchard,"North Ave & Orchard, Westbound, Northeast Corner",41.91102555,-87.64571437,0,,1
17061,17061,Ashland & Taylor,"Ashland & Taylor, Northbound, Northeast Corner",41.86954418,-87.6663204,0,,1
17063,17063,Ashland & Taylor,"Ashland & Taylor, Southbound, Southwest Corner",41.86899322,-87.66659907,0,,1
17076,17076,Ashland & Madison,"Ashland & Madison, Northbound, Northeast Corner",41.88161331,-87.66666668,0,,1
17077,17077,Ashland & Madison,"Ashland & Madison, Southbound, Southwest Corner",41.88131341,-87.6669398,0,,1
17126,17126,North Ave & Throop,"North Ave & Throop, Eastbound, Southeast Corner",41.91067122,-87.66016808,0,,1
17127,17127,North Ave & Throop,"North Ave & Throop, Westbound, Northwest Corner",41.91079739,-87.66061896,0,,1
17177,17177,Ashland & Adams,"Ashland & Adams, Northbound, Northeast Corner",41.87910017,-87.66658329,0,,1
17178,17178,Ashland & Hubbard,"Ashland & Hubbard, Northbound, Southeast Corner",41.88976696,-87.66698589,0,,1
17179,17179,Ashland & Grand,"Ashland & Grand, Northbound, Northeast Corner",41.89117642,-87.66702655,0,,1
17180,17180,Ashland & North Ave,"Ashland & North Ave, Northbound, Northeast Corner",41.91079268,-87.66754012,0,,1
17182,17182,Ashland & Hubbard,"Ashland & Hubbard, Southbound, Southwest Corner",41.88974455,-87.6672478,0,,1
